상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16615640,디지털 완제품_노트북,1688350,삼성전자 갤럭시북2 프로360 NT950QED-KC51S,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 실버,2022.03.,(5건),"['1,688,350원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16599746,디지털 완제품_노트북,1598400,삼성전자 갤럭시북2 프로360 NT930QEW-A51A,2 in 1 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 실버,2022.03.,(30건),"['1,598,400원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16616360,디지털 완제품_노트북,1560000,삼성전자 갤럭시북2 프로360 NT930QED-KC51D,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 버건디,2022.03.,(14건),"['1,560,000원\n\n가격정보 더보기', '1,708,990원\n\n가격정보 더보기', '1,758,990원\n\n가격정보 더보기', '2,150,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 256GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 500GB', 'SSD 1TB', 'SSD 2TB']",//img.danawa.com/new/noData/img/noImg_160.gif
16628417,디지털 완제품_노트북,1897850,삼성전자 갤럭시북2 프로360 NT950QED-KC71G,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 그라파이트,2022.03.,(60건),"['1,897,850원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16628351,디지털 완제품_노트북,1898990,삼성전자 갤럭시북2 프로360 NT950QED-KC71S,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 실버,2022.03.,(33건),"['1,898,990원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16612958,디지털 완제품_노트북,1637910,삼성전자 갤럭시북2 프로 NT950XEE-XC71S,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															Arc A350M / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											13.3mm / 																											무게: 																											1.17kg / 												색상: 실버,2022.03.,(29건),"['1,637,910원\n\n가격정보 더보기', '1,719,990원\n\n가격정보 더보기', '1,826,280원\n\n가격정보 더보기', '1,934,890원\n\n가격정보 더보기', '1,952,760원\n\n가격정보 더보기', '1,977,810원\n\n가격정보 더보기', '2,079,470원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 512GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 1TB', 'SSD 2TB', 'SSD 250GB + SSD 512GB', 'SSD 500GB + SSD 512GB', 'SSD 1TB + SSD 512GB', 'SSD 2TB + SSD 512GB']",//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16616300,디지털 완제품_노트북,1660000,삼성전자 갤럭시북2 프로360 NT930QED-KC51S,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 실버,2022.03.,(1건),"['1,660,000원\n\n가격정보 더보기', '1,850,000원\n\n가격정보 더보기', '1,890,000원\n\n가격정보 더보기', '2,090,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 256GB', 'SSD 500GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 1TB', 'SSD 2TB']",//img.danawa.com/new/noData/img/noImg_160.gif
16627319,디지털 완제품_노트북,1688710,삼성전자 갤럭시북2 프로 NT950XEE-XC71G,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															Arc A350M / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											13.3mm / 																											무게: 																											1.17kg / 												색상: 그라파이트,2022.03.,(16건),"['1,688,710원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
