pid,name,description,price,qty,saleStatus,status,imageUrl,keywords,address,label,link,market,keyword
216817610,게이밍노트북,"I7 6700hq
Gtx960m
8g
129g 1t
자판이 살짝 들려있습니다",230000,1,SELLING,USED,https://media.bunjang.co.kr/product/216817610_{cnt}_1684332389_w{res}.jpg,[],,,https://m.bunjang.co.kr/products/216817610,번개장터,노트북
224300444,LG 그램 노트북,"pc만 쓰다보니 잘안쓰게되어 판매합니다
실사용 거의없고 기스도 찾아볼수없이 깨끗합니다",700000,1,SELLING,USED,https://media.bunjang.co.kr/product/224300444_{cnt}_1684286860_w{res}.jpg,[],,,https://m.bunjang.co.kr/products/224300444,번개장터,노트북
224143169,HP 울트라 노트북 싸게 팔아요,"HP 노트북 
cpu 7세대 i5 -7200
삼성 메모리 DDR4 8g
하드 디스크
WD ssd 240G
인텔 그래픽 HD 620
15인치 (1920 * 1080) 고해상도 IPS 패널 
A급 패널
신품 배터리 장착
신품 아답터 드립니다
생활 기스 없음
2016년식
깨끗한 중고 제품 입니다 
웹서핑, 주식, 인강 최적인 노트북입니다
택배 거래 가능합니다",240000,1,SELLING,USED,https://media.bunjang.co.kr/product/224143169_{cnt}_1684317025_w{res}.jpg,"['hp노트북', 'hp', '7세대', 'i5']",,,https://m.bunjang.co.kr/products/224143169,번개장터,노트북
224183671,레노버 아이디어패드 슬림5 프로 16인치 노트북,"CPU : R5 5600H
램 : 16G
그래픽카드 RTX 3050
배터리 성능 99% 배터리 사이클 24회 
노트북 외관 우측하단 기스 안쪽 좌측하단 찍힘자국 있습니다.
2022년 1월경에 구매하여 웹서핑, 대학교 레포트용으로 사용했습니다.
사용감이 그렇게 많지는 않습니다
박스는 없고 케이블 노트북 c to c 충전케이블 같이 드리겠습니다.
택배 가능하며 직거래 장소는 2호선 외선순환역 전역 가능합니다
네고가능하니 많은문의 주세요",550000,1,SELLING,USED,https://media.bunjang.co.kr/product/224183671_{cnt}_1684332351_w{res}.jpg,['레노버노트북'],,,https://m.bunjang.co.kr/products/224183671,번개장터,노트북
223774743,삼성 갤럭시북 게이밍 노트북 풀세트 15인치 nt750xdz  lg노트북,"i5 11세대
램 16 lpddr4x
그래픽 iris xe (롤 피파 서든 에이펙스 옵치 싸이버펑크 다 했었습니다)
Ssd 256

기름값 주시면 가져다 드려요! 직거래 수원 정자동 수원화산교회 근처 선호합니다.
무선 키보드
로지텍 102 마우스
퍼그 노트북 파우치
핸드폰 무선충전 마우스패드
다 같이 드립니다.
15인치이고 모델명 NT750XDZ-A51AS 작년말구매며 보호필름 붙여서 사용했고 거치해두고써서 외관 멀쩡합니다 네이버 최저 지금 89나오네요",585000,1,SELLING,USED,https://media.bunjang.co.kr/product/223774743_{cnt}_1684240869_w{res}.jpg,[],,,https://m.bunjang.co.kr/products/223774743,번개장터,노트북
222565446,(미개봉)스타벅스 노트북 파우치 & 키링포함,"스타벅스 파우치
반값택배 택포O",28000,1,SELLING,USED,https://media.bunjang.co.kr/product/222565446_{cnt}_1683954382_w{res}.jpg,"['스타벅스', '갤럭시', '키링']",,,https://m.bunjang.co.kr/products/222565446,번개장터,노트북
224126193,한성 게이밍 노트북,"램 8기가 추가해서 16기가 입니다.
프리도스 입니다.

추가 문의사항은 문의 주세요

참고
https://www.monsterlabs.co.kr/m/category/read.html?pn=135698",700000,1,SELLING,USED,https://media.bunjang.co.kr/product/224126193_{cnt}_1684158852_w{res}.jpg,[],,,https://m.bunjang.co.kr/products/224126193,번개장터,노트북
219935650,"노트북 가방 백팩 USB 충전기능, 잠금장치 캐리어백팩","딱 1번 착용 
다른 가방 선물받아서 판매합니다 

상태 S급👍🏻👍🏻
사이즈 Free 

💰제 상점 내 다른 상품 함께 구매 시 에눌해드려요💰 

🙇🏻‍♀️중고거래 특성상 교환 및 환불은 어렵습니다 
양해부탁드립니다🙇🏻‍♀️",25000,1,SELLING,NEW,https://media.bunjang.co.kr/product/219935650_{cnt}_1682863772_w{res}.jpg,"['노트북가방', '노트북백팩', '백팩', '충전백팩', '캐리어백팩']",,,https://m.bunjang.co.kr/products/219935650,번개장터,노트북
220662168,위글위글 노트북 파우치,"위글위글에서는 품절된 노트북파우치 팝니다
사이즈는 13인치 노트북 용입니다만 삼성flex2 13인치 넣으면 여유있게 남습니다
혹시 몰라 사이즈표 사진 올렸으니 참고 바랍니다",30000,1,SELLING,USED,https://media.bunjang.co.kr/product/220662168_{cnt}_1682262142_w{res}.jpg,"['위글위글', '노트북파우치', '13인치']",,,https://m.bunjang.co.kr/products/220662168,번개장터,노트북
224376023,[개인/램8G/슬림제품] 삼성 화이트 노트북,"❤개인❤램8G❤슬림제품❤삼성 화이트 노트북❤

학원 운영 계획으로 구매했는데 개인 사정으로 중단하게 되어 판매합니다. 사용량이 매우 적어 매우 깨끗하고 배터리도 오래갑니다.

게임, 그래픽 작업, 인강, 동영상, 영화감상, 인터넷 , 문서작업 등 전혀 무리없이 빠르게 사용 가능한 사양입니다.

⭐A/S 서비스도 가능합니다. 지인분께서 수리 기사님이셔서 혹시라도 사용하시다가 문제 발생 시엔 언제든지 연락주시면 도와드리겠습니다⭐

(직거래랑 택배 둘 다 가능하며 택배로 거래 시에는 뾱뾱이로 포장 후 박스에 전자제품 안전 배송에 대한 문구 기재해서 보내드립니다.)

소음도 적어 도서관 등 조용한 공간에서도 사용 가능하며 무게도 가벼워 휴대용으로도 편리한 제품입니다.

사비 들여 초기화 작업 완료 후 기본 설정과 더불어 윈도우와 문서작업 프로그램도 최신으로 설치 후 인증 완료하여 제품 수령 후 바로 사용하시면 됩니다.

❤Window 10❤
보통 윈도우 인증이 안 되어 있는 제품들이 많으나 사비 들여 최신형 윈도우 설치 후 인증 완료하여 따로 인증 받으실 필요 없습니다.

❤문서 작업 프로그램❤
시중에 한글과 오피스(워드.엑셀.파워포인트.피피티 등)도 설치가 안 되어 있거나 인증이 안 되어 있는 제품들이 많으나 사비 들여 최신형으로 설치 완료된 제품입니다. 

❤CPU 저전력 인텔❤ 
그래픽 작업과 게임도 가능한 저전력 인텔 CPU 탑재로 인터넷도 매우 빠르고 배터리도 오래갑니다. 

❤RAM 8G❤ ➜ ⭐2배 업그레이드⭐
보통 4G인데 8G로 2배 업그레이드하여 속도도 매우 빠르고 인터넷 창도 빠르게 여러 개 띄우실 수 있습니다. 

❤SSD 128G❤ 
보통 부팅 속도가 느린 HDD인데 부팅 속도가 빠른 SSD가 탑재된 제품으로 부팅과 로딩속도도 매우 빠르고 저장공간도 매우 넓어 용량도 충분합니다.

❤VGA❤ 
고성능 그래픽으로 포토샵 등 그래픽 작업과 게임도 가능한 제품입니다. 

❤구성품❤ ➜ ⭐풀구성품⭐
본체 + 아답터 + 충전기 + 배터리 + 파우치 + 무선마우스",460000,1,SELLING,USED,https://media.bunjang.co.kr/product/224376023_{cnt}_1684332239_w{res}.jpg,"['최대5개까지가능하며쉼표로구분합니다.예시(태그1', '태그2', '태그3)']",,,https://m.bunjang.co.kr/products/224376023,번개장터,노트북
224259775,레노버 게이밍 3i 15IMH I5 LEGEND,"레노버 게이밍 3i 15IMH I5 LEGEND 판매합니다 
1년 전쯤에 램 8기가->16기가 용량 500gb->1tb
로 업그레이드 한 제품을 110정도로 구매하였고 
성능적인 하자는 없고 액정에 마지막 사진에 올려둔
스크레치?자국이 하나 있습니다 워낙 작아서 체감은 잘 안되긴해요
롤,피파,옵치 등 왠만한 게임 풀옵으로 잘 돌아갑니다 
사놓고 잘 안쓰고 있는 상태라 처분합니다
네고 가능합니다 연락주세요",450000,1,SELLING,USED,https://media.bunjang.co.kr/product/224259775_{cnt}_1684252314_w{res}.jpg,"['게이밍노트북', '노트북', '레노버', '게이밍']",,,https://m.bunjang.co.kr/products/224259775,번개장터,노트북
221438998,LG 울트라노트북 15U40N - GR3YK,"🚨 아이패드랑 교신 가능 🚨
원가 100만원입니다
구매하실 의향 있으시다면 번개톡 주십쇼 !
실사용 기간은 3달정도도 안 되고 하자 하나 없고
정말 깨끗한 상품입니다 ~
궁금한 거 물어보시면 답변 친절히 해드리겠습니다 ~
상태 좋은 상품 싸게 가져가세요 ~",349000,1,SELLING,USED,https://media.bunjang.co.kr/product/221438998_{cnt}_1683792098_w{res}.jpg,"['lg노트북', 'lg울트라노트북', '엘지노트북', '노트북', 'lg그램']",,,https://m.bunjang.co.kr/products/221438998,번개장터,노트북
224116650,삼성일체형컴퓨터,"하드ssd128 
램 6
윈도우10 영구인증",85000,1,SELLING,USED,https://media.bunjang.co.kr/product/224116650_{cnt}_1684192535_w{res}.jpg,"['일체형pc', '삼성일체형컴퓨터', '노트북', '올인원pc']",,,https://m.bunjang.co.kr/products/224116650,번개장터,노트북
220328041,삼성 갤럭시북 이온 NT930XCR-A58A 노트북 13인치,"삼성전자 갤럭시북 이온 NT930XCR-A58A 노트북입니다.
CPU : Intel(R) Core(TM) i5-10210U
GPU : UHD Graphics
RAM : 8GB
메모리 : DDR4
SSD : 256GB
해상도 : 1920x1080(FHD)
화면비율 : 16:9
밝기 : 600nit
단자 : USB Type C, USB3.1
무게 : 0.97 kg
제조년월 : 2020.05

문서작업용으로만 사용하던 노트북이고 컴퓨터를 많이 이용해서 거의 사용하지 않았습니다.
생활기스 조금 있는데 잘 안 보입니다.
하자 및 잔고장 없고 가벼워서 들고다니기 편합니다. 충전도 전용 충전기랑 C타입도 충전 가능합니다.
운영체제는 windows 10 Home 정품입니다.
충전기와 본품 박스도 같이 드립니다.

어느 정도 네고 가능하니까 편하게 문의주세요 :)

❗️😁전자제품인 만큼 환불 불가하니 신중하게 구매해주세요😁❗️

거래 희망 장소 : 4호선 오남역, 별내별가람역",800000,1,SELLING,USED,https://media.bunjang.co.kr/product/220328041_{cnt}_1683693465_w{res}.jpg,"['삼성', '노트북', '갤럭시북', '이온', '삼성노트북']",,,https://m.bunjang.co.kr/products/220328041,번개장터,노트북
