상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16285280,디지털 완제품_노트북 주변기기,9800,쏘 애플 2021 맥북프로 16인치 A2485 M1 Pro Max 투명 하드 케이스,보호용품 / 												케이스 / 															40.64cm(16인치대),2022.01.,(1건),"['9,800원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16509317,디지털 완제품_노트북 주변기기,28630,하푼 애플 맥북프로16 (A2141) 컬러풀 커버 노트북 케이스,보호용품 / 												케이스 / 															40.64cm(16인치대),2022.03.,,"['28,630원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16489418,디지털 완제품_노트북 주변기기,107000,벨킨 TruePrivacy Screen Protection,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 33.02cm(13인치대) / 												[주요스펙] Privacy보호,2022.02.,,"['107,000원\n\n가격정보 더보기', '119,000원\n\n가격정보 더보기', '119,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , 13인치 맥북', '15인치 맥북', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , 16인치 맥북']",//img.danawa.com/new/noData/img/noImg_160.gif
16374401,복합기/SW_스캐너,160000,IRIS IRIScan Book3,휴대용 스캐너 / 																											CIS 방식 / 																											스캔 기능: 																											신분증스캔 / 																											광학 해상도: 																											900dpi / 																											OCR문자인식 / 																											Mac지원 / 																											MicroSD / 																											연결방식: 																											USB 2.0												 / 크기: 257 x 36 x 24mm / 무게: 154g,2022.02.,,"['160,000원\n\n가격정보 더보기']",['해외구매'],//img.danawa.com/new/noData/img/noImg_160.gif
16316882,디지털 완제품_노트북 주변기기,14390,알럽스킨 애플 맥북프로 2021 14인치 외부보호필름,"[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 35.56cm(14인치대) / 												[주요스펙]  호환제품 : 맥북프로 2021 14인치 호환 / 구성 : 팜레스트, 상판, 하판",2022.02.,,"['14,390원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16318085,디지털 완제품_노트북 주변기기,11980,알럽스킨 애플 맥북프로 2021 14인치 고광택강화 액정보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 35.56cm(14인치대) / 												[주요스펙] 고광택 / 																											경도:3H												 / 호환제품 : 맥북프로 2021 14인치 호환,2022.02.,,"['11,980원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16365518,디지털 완제품_노트북 주변기기,67983,쏘 맥북프로 레티나 15인치 배터리,배터리												 / 크기 : 330 x 115 x 5mm / 호환모델 확인필요,2022.02.,(11건),"['67,983원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16365731,디지털 완제품_노트북 주변기기,62681,쏘 맥북프로 레티나 13인치 배터리,"배터리												 / 크기 : 290 x 105 x 5mm / 호환모델 : A1493, A1582 / 구성 : 배터리, 드라이버 2P (P5, T5)",2022.02.,(8건),"['62,681원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16285085,디지털 완제품_노트북 주변기기,9500,쏘 애플 2021 맥북프로 14인치 A2442 M1 Pro Max 투명 하드 케이스,보호용품 / 												케이스 / 															35.56cm(14인치대),2022.01.,(1건),"['9,500원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16101587,디지털 완제품_노트북 주변기기,49720,쏘 맥북에어 13인치 배터리,"배터리												 / 크기 : 29.3 x 13.8 x 0.7mm / 호환모델 : A1369 (2010), A1369 (2011), A1466 (2012~2017) /  구성 : 배터리, 드라이버 2P (P5, T5)",2022.01.,(1건),"['49,720원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16285409,디지털 완제품_노트북 주변기기,20900,헤이맨 애플 맥북 프로 M1 Pro Max 14인치 A2442 매트 하드 케이스,"보호용품 / 												케이스 / 															35.56cm(14인치대)												 / 색상 : 그레이, 네이비",2022.01.,(2건),"['20,900원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16685621,디지털 완제품_노트북 주변기기,5900,아이노비아 애플 맥북프로 M1 13인치 TPU 투명 키스킨,[분류/종류] 보호용품 / 																											키스킨 / 												[호환크기] 33.02cm(13인치대),2022.03.,,"['5,900원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16685717,디지털 완제품_노트북 주변기기,6080,아이노비아 애플 맥북에어 M1 13인치 TPU 투명 키스킨,[분류/종류] 보호용품 / 																											키스킨 / 												[호환크기] 33.02cm(13인치대),2022.03.,(2건),"['6,080원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16703510,디지털 완제품_노트북 주변기기,10900,아이노비아 애플 맥북에어 M1 13인치 투명 케이스,보호용품 / 												케이스 / 															33.02cm(13인치대),2022.03.,(2건),"['10,900원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16685642,디지털 완제품_노트북 주변기기,10950,아이노비아 애플 맥북프로 M1 13인치 투명 케이스,보호용품 / 												케이스 / 															33.02cm(13인치대),2022.03.,,"['10,950원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16671515,디지털 완제품_노트북 주변기기,9570,젠피엠 애플 맥북 프로 16 M1 A2485 고광택 액정보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 40.64cm(16인치대) / 												[주요스펙] 고광택												 / 호환제품 : 맥북프로 16 M1 A2485 호환,2022.03.,,"['9,570원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16672277,디지털 완제품_노트북 주변기기,8770,젠피엠 애플 맥북 프로 14 M1 A2442 저반사 액정보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 35.56cm(14인치대) / 												[주요스펙] 눈부심방지												 / 호환제품 : 맥북프로 14 M1 A2442 호환,2022.03.,,"['8,770원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16671302,디지털 완제품_노트북 주변기기,9570,젠피엠 애플 맥북 프로 16 M1 A2485 저반사 액정보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 40.64cm(16인치대) / 												[주요스펙] 눈부심방지												 / 호환제품 : 맥북프로 16 M1 A2485 호환,2022.03.,,"['9,570원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16672343,디지털 완제품_노트북 주변기기,10370,젠피엠 애플 맥북 프로 14 M1 A2442 블루컷 시력보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 35.56cm(14인치대) / 												[주요스펙] 블루라이트차단												 / 호환제품 : 맥북프로 14 M1 A2442 호환,2022.03.,,"['10,370원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16671434,디지털 완제품_노트북 주변기기,10370,젠피엠 애플 맥북 프로 16 M1 A2485 올레포빅 액정보호필름,[분류/종류] 보호용품 / 																											액정보호용품 / 												[용도] 노트북용 / 												[호환크기] 40.64cm(16인치대) / 												[주요스펙] 올레포빅코팅												 / 호환제품 : 맥북프로 16 M1 A2485 호환,2022.03.,,"['10,370원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
